qid	pid	score,pid	query	score
1165153	8537796	9.253959655761719,
293881	5828255	9.460474014282227,
939622	4282506	9.213149070739746,
235037	6456934	9.57562255859375,
213597	6489284	9.137934684753418,
938621	3301609	8.9061861038208,
140852	5458980	8.61750602722168,
1031851	4379834	8.6174955368042,
795853	4232669	9.184764862060547,
588372	540731	9.120532035827637,
1138364	2697742	8.370155334472656,
890525	4501460	8.809309959411621,
1039579	4760979	9.484745025634766,
1048039	2372558	9.091115951538086,
1081566	5253243	9.002479553222656,
722667	1811535	8.817745208740234,
1074689	3602928	9.235349655151367,
1034140	3178759	9.15698528289795,
1002446	2623540	9.289682388305664,
1170988	3014048	9.305621147155762,
1140362	2506919	8.986492156982422,
1027276	4949314	9.142374992370605,
522270	6040758	9.093351364135742,
1036535	3262216	8.857600212097168,
1040529	5323939	9.048144340515137,
445715	6978670	9.469696044921875,
1044528	4775492	8.568897247314453,
1040795	5097849	8.689311981201172,
1153389	1268306	9.173995971679688,
1035394	5115268	9.014427185058594,
1038036	5242129	8.572622299194336,
783777	2407212	8.781393051147461,
867619	3222309	8.892391204833984,
1053436	6098075	8.867425918579102,
334928	1425919	8.80783462524414,
1053579	4128959	8.816412925720215,
1003353	5031663	9.055278778076172,
1032217	3557533	9.017394065856934,
338176	6860804	9.095993995666504,
444956	5883902	8.852511405944824,
909606	2649971	9.108932495117188,
114489	4334939	9.108882904052734,
973663	4041394	9.455692291259766,
925971	3219108	9.197151184082031,
293487	2929793	8.926218032836914,
1137232	2805867	9.294788360595703,
439461	6822390	9.488947868347168,
1137743	2755869	8.550821304321289,
900600	4121360	8.55154800415039,
415301	6031863	9.577913284301758,
187285	5583821	8.923260688781738,
340179	7035097	8.873271942138672,
85042	279405	9.11365795135498,
1028766	5968304	9.226394653320312,
1029779	5412903	9.084216117858887,
883888	3310947	8.790693283081055,
7229	5963872	8.668953895568848,
1036836	5268805	9.086039543151855,
294638	4518023	9.404056549072266,
1048516	3341289	9.115440368652344,
1055356	4123064	9.758204460144043,
416168	1251738	8.897143363952637,
900499	3743441	9.529573440551758,
1057153	4044436	9.582846641540527,
963628	2873721	9.076915740966797,
539766	2045602	9.118584632873535,
947151	6099596	8.709184646606445,
144210	3011534	8.573410034179688,
337582	1076118	8.880544662475586,
990247	3876025	8.433391571044922,
1002934	3860342	9.060893058776855,
341307	6285333	8.993024826049805,
831674	3836103	9.05401611328125,
927366	2278741	9.34689712524414,
419648	5916475	9.413921356201172,
1030490	4812435	8.339212417602539,
1055773	3708708	8.830060005187988,
44200	6724595	9.414983749389648,
519997	434540	9.336216926574707,
783882	5136809	9.091423034667969,
18012	3215539	8.63568115234375,
1041571	2708064	9.305171012878418,
509559	5642061	8.796984672546387,
520698	5904761	9.607144355773926,
313462	4238446	9.423062324523926,
919295	3315356	8.781627655029297,
402801	5023556	8.695335388183594,
589336	181671	9.339341163635254,
1075211	2285592	9.031167984008789,
1142061	2343175	9.085297584533691,
1005960	2614937	9.019769668579102,
1037465	3271539	8.766315460205078,
1076043	4541777	9.281387329101562,
868044	6095766	9.752695083618164,
616261	2207312	9.49360179901123,
1054577	5010030	9.18485164642334,
183745	412710	9.087469100952148,
899820	3384871	9.083890914916992,
968614	2308856	8.846774101257324,
441007	233747	8.75024700164795,
1025920	6217028	9.432770729064941,
802810	3252329	8.791672706604004,
1054563	4722342	8.932990074157715,
1004274	4383463	8.988823890686035,
1056932	4193243	8.964803695678711,
834417	2748428	9.321305274963379,
917884	3669191	8.997466087341309,
412121	2039829	9.131175994873047,
771257	4635812	9.248592376708984,
997810	4225709	9.414390563964844,
1038568	6113985	8.916097640991211,
1003284	2983534	8.897607803344727,
539707	1445599	9.410795211791992,
423436	746685	9.17568302154541,
1030763	3910989	9.284238815307617,
1048265	2546938	9.103157997131348,
485773	6283936	9.495643615722656,
286966	6541021	8.997572898864746,
1054852	2721750	9.445241928100586,
594902	6759376	9.446483612060547,
1043025	5429674	9.19495964050293,
317702	1797961	9.101934432983398,
138772	6440943	9.01004409790039,
102222	103073	9.103972434997559,
1002142	2717571	9.58643913269043,
792245	4447744	8.863598823547363,
1057256	5027084	8.934022903442383,
1036505	4669976	9.057490348815918,
1037429	5053793	9.4523286819458,
669074	7165939	8.864500999450684,
815998	5365437	8.75754165649414,
980922	2947681	8.922708511352539,
881599	3211608	9.246387481689453,
517348	152326	8.79141616821289,
746928	1360758	9.128169059753418,
869370	5217115	9.096335411071777,
535363	1009820	9.184496879577637,
1041412	3166334	9.228191375732422,
771726	4601150	9.367000579833984,
1143170	2230522	9.171649932861328,
1138378	2696285	9.203587532043457,
335385	3803281	9.744240760803223,
92175	6492080	9.102134704589844,
1033564	5207123	8.976551055908203,
1053751	4146519	8.767316818237305,
981552	3687088	9.097233772277832,
341246	2357252	9.245501518249512,
143286	6575421	8.709081649780273,
1054931	4591531	9.24764347076416,
1145960	1969159	9.102455139160156,
1137416	2787925	8.914678573608398,
97611	2809249	9.54016399383545,
746206	257233	9.38180160522461,
1047725	3541250	9.476598739624023,
1036481	5929795	8.74355697631836,
865077	3427599	9.006380081176758,
1029644	5172484	9.478139877319336,
1055546	4280514	9.029190063476562,
1038944	3601486	9.251443862915039,
998117	3359696	9.239114761352539,
988596	3041418	9.188674926757812,
1138531	2681001	8.759674072265625,
1138324	2701773	8.846927642822266,
1035250	5198420	9.38703441619873,
462177	8186239	9.167430877685547,
959901	3153059	8.936704635620117,
31846	6253991	9.481071472167969,
1035217	2320337	8.687195777893066,
1023863	4340237	9.445216178894043,
399300	6803969	8.74257755279541,
1036559	3299438	8.951586723327637,
456727	6113253	9.446128845214844,
143550	5600655	9.166389465332031,
662100	6696382	9.562861442565918,
907008	4527209	9.59937858581543,
863581	2811212	9.126486778259277,
1183133	803834	8.823768615722656,
1030658	3473851	9.45821762084961,
470024	6256734	9.276126861572266,
214586	5461185	9.260716438293457,
233355	2502456	8.927155494689941,
1038948	2949930	8.692375183105469,
86815	6498630	9.231222152709961,
1026406	4606899	9.144831657409668,
940383	5267472	9.192892074584961,
336512	5591873	9.320650100708008,
980599	4953219	9.12732982635498,
1031505	3699900	9.489660263061523,
580345	5915545	9.271001815795898,
958345	4480839	9.4276123046875,
918212	4799096	9.11300277709961,
879222	3120778	8.815180778503418,
1152881	1318715	9.109439849853516,
144752	3420319	9.915509223937988,
402796	6439194	9.629729270935059,
999198	3958982	9.158388137817383,
1034563	4806203	8.825105667114258,
214287	1294378	8.93360710144043,
643490	4248707	9.45663070678711,
1031994	3207845	9.354373931884766,
971777	3221146	9.026658058166504,
950123	1155178	9.132102966308594,
1031217	4127072	9.393209457397461,
954656	2977392	9.084404945373535,
83394	1413103	9.156588554382324,
1001883	5227550	9.826699256896973,
611194	1282954	9.143152236938477,
959476	842388	8.90537166595459,
918142	3141424	9.564313888549805,
987675	2272603	9.012432098388672,
1045031	3325696	8.707159042358398,
1055519	5066584	8.978658676147461,
213259	4404655	9.38232421875,
1035525	2518918	9.337658882141113,
178245	385345	9.436247825622559,
981627	2593682	9.106391906738281,
334466	3664375	8.859735488891602,
1027439	3405648	9.140604972839355,
337611	1228848	9.012632369995117,
1002242	4498881	8.648975372314453,
1033974	3310080	8.588106155395508,
451168	1612559	9.274163246154785,
1035290	4740098	9.66633415222168,
615509	2129034	9.177495956420898,
1056813	603340	9.044591903686523,
1032469	5373981	8.973237037658691,
840972	3204114	9.186067581176758,
920554	4031089	8.938495635986328,
479819	1414765	9.156814575195312,
1077321	2662409	9.807429313659668,
1002208	2911316	9.463579177856445,
213706	275464	8.868297576904297,
826606	3127214	9.006267547607422,
974391	2874580	9.306452751159668,
4123	5613465	8.39744758605957,
900232	4445489	8.968056678771973,
337358	6634181	9.062834739685059,
1043245	291975	8.899566650390625,
1055909	6138960	9.032626152038574,
973778	3218363	8.59724235534668,
1031846	4222646	9.443584442138672,
749135	5225726	9.299245834350586,
1036046	3123692	9.28907585144043,
908581	3016402	8.433771133422852,
1035212	2356667	8.877029418945312,
1155708	1045216	9.146856307983398,
962604	4516440	8.754487037658691,
325826	5433422	9.016242980957031,
1059498	5066300	9.46692943572998,
1035867	3677660	9.100095748901367,
538155	2767476	9.185083389282227,
1057023	4780086	8.471678733825684,
1063058	3654598	9.220696449279785,
1059803	3775246	8.848649978637695,
341058	2142187	9.27269458770752,
619564	6796100	9.383623123168945,
335314	5554333	9.21743106842041,
213227	446854	9.138248443603516,
1032707	3728877	9.680651664733887,
612369	1551842	9.507619857788086,
1058318	3980680	9.236905097961426,
300640	6314947	9.462291717529297,
1033463	2783955	8.340286254882812,
1143033	2244571	9.133724212646484,
969300	2442012	9.135133743286133,
1031973	5017838	9.11402416229248,
951816	4483206	9.44394588470459,
1043008	3390222	9.239951133728027,
1034297	2320795	9.222589492797852,
718011	4692727	9.344076156616211,
945752	2636278	8.994235038757324,
1026544	4675350	9.372218132019043,
881303	721835	8.961420059204102,
1032891	2437346	9.66206169128418,
1038219	2327115	8.6770658493042,
974421	3069970	9.166341781616211,
939167	2551226	8.948319435119629,
1006416	3666681	9.142643928527832,
993570	1821597	9.115972518920898,
578337	6762582	9.007827758789062,
337718	6230214	9.721628189086914,
429760	151507	9.195954322814941,
1035248	2760748	9.302926063537598,
421605	777785	9.397520065307617,
641810	1276492	9.438518524169922,
645322	6877066	8.983134269714355,
1033646	2603492	8.556836128234863,
518075	3218756	9.478628158569336,
335709	6106993	9.638927459716797,
143985	2848833	9.184409141540527,
181959	4699870	9.551143646240234,
179793	2323506	9.748713493347168,
892427	907290	9.123051643371582,
1037362	3721000	9.716450691223145,
321821	626653	9.733808517456055,
1048736	4692816	9.435709953308105,
1030680	3839365	8.567617416381836,
214503	3324982	9.388364791870117,
273111	1936749	9.135242462158203,
1054109	5253871	8.939812660217285,
215783	4518485	9.416791915893555,
1041471	2584699	9.182214736938477,
1024593	3844995	9.000947952270508,
549664	2922810	8.657485961914062,
144845	822832	9.530025482177734,
1056486	4890393	8.975104331970215,
1150667	1525959	9.021784782409668,
479831	2946825	8.913277626037598,
18092	1702475	8.913263320922852,
505674	267568	8.53971004486084,
144710	374005	8.701522827148438,
197109	1366824	8.796338081359863,
214483	2223539	9.1160249710083,
1045430	2691999	8.859670639038086,
336507	2105057	9.062457084655762,
957343	3845023	9.091752052307129,
404140	1792988	9.49405574798584,
1034443	3144408	8.64489459991455,
974997	3530423	9.174142837524414,
1035973	6121545	9.47103500366211,
585092	801556	9.079512596130371,
870547	3178828	9.346617698669434,
1143960	2155432	8.772595405578613,
950510	4340642	8.946706771850586,
879374	4629261	8.925082206726074,
1137947	2737359	9.318950653076172,
982326	5206043	9.065027236938477,
942761	6100846	8.8070650100708,
830642	4452996	8.897283554077148,
1010146	6312057	9.533724784851074,
1063145	4968177	9.538406372070312,
404282	899759	9.557241439819336,
143164	3693407	9.698801040649414,
207055	5603380	9.319435119628906,
900582	4352463	8.994486808776855,
923172	2803344	9.129547119140625,
1003343	4138548	8.687010765075684,
943846	2720343	9.683202743530273,
1049629	5988863	9.11911678314209,
437787	1451655	9.033364295959473,
938915	3961108	9.050230979919434,
151896	4804335	9.286980628967285,
1037207	3715968	9.295486450195312,
1035742	5394385	9.365102767944336,
843099	2391820	9.060601234436035,
1038570	5119042	9.340298652648926,
1031971	4317310	9.444839477539062,
1042680	2691690	9.079143524169922,
857950	2291552	9.589102745056152,
968591	2462878	8.460390090942383,
649664	4631010	9.324870109558105,
900563	4158842	8.462570190429688,
994227	4158969	9.114931106567383,
1147140	1861218	8.66234302520752,
985430	4751547	9.14437484741211,
1041697	4437745	9.338582038879395,
516313	1266567	8.999537467956543,
462506	6747946	9.140312194824219,
1048491	5120533	9.366765022277832,
553554	332072	9.5059232711792,
1058543	2494459	9.12059497833252,
1137801	2750808	9.030214309692383,
58028	4913399	8.996294975280762,
448149	4948491	9.46170425415039,
1037347	4438459	9.478097915649414,
115689	1746558	9.902220726013184,
519642	920246	9.062061309814453,
615516	7106308	8.331513404846191,
1053285	3950030	9.354338645935059,
877516	2066615	9.0305814743042,
921527	2991636	8.99813175201416,
788584	6088722	8.672094345092773,
1138235	2710476	9.31431770324707,
336031	5507281	9.175865173339844,
100187	6196806	9.468069076538086,
145761	1246483	9.093375205993652,
1173547	350083	9.5020170211792,
923294	2710843	9.197041511535645,
180100	4634707	8.862095832824707,
313775	6592155	9.005855560302734,
1031963	4800982	9.454839706420898,
1043330	6129429	8.953157424926758,
594293	7029485	9.348219871520996,
287040	2344434	8.984045028686523,
657076	2190241	9.172080993652344,
900768	2919621	9.518623352050781,
541235	6995949	9.526795387268066,
473850	6834367	8.30347728729248,
1137376	2791947	9.134593963623047,
214109	6523621	9.265570640563965,
992707	2942085	9.58186149597168,
84261	6572216	9.550305366516113,
822232	3457410	9.274297714233398,
461478	5367744	9.237812042236328,
952852	3691263	9.186415672302246,
541211	2187614	8.930566787719727,
539643	6112990	8.871461868286133,
1030587	2628787	9.032785415649414,
783001	4803591	9.372161865234375,
1182945	1000962	9.048093795776367,
958330	4984397	9.687378883361816,
335584	6835820	9.396820068359375,
718277	1994373	9.372713088989258,
1054515	4918047	9.461416244506836,
991252	2387597	9.364462852478027,
991249	2387597	9.364462852478027,
582020	5168612	9.78563404083252,
1034398	5007604	9.253106117248535,
1004265	3807664	9.694853782653809,
7770	3790035	9.71588134765625,
1138297	2704623	9.806646347045898,
136369	5195180	9.172220230102539,
514062	6285041	9.888009071350098,
972023	4507606	8.38935661315918,
957581	2784361	9.35501480102539,
1032265	5311216	9.002099990844727,
909289	5140384	9.249974250793457,
918922	6100469	9.291474342346191,
261456	172967	9.290416717529297,
1031217	4127068	9.367098808288574,
976495	3917129	9.147323608398438,
838090	2525987	9.28093433380127,
452129	385343	8.667224884033203,
1172342	1640932	9.106600761413574,
1038615	4185324	9.185516357421875,
1032419	5146572	8.931777000427246,
928054	3948083	8.950108528137207,
618813	883018	8.735082626342773,
287004	143307	8.92212963104248,
424358	1548117	9.03133773803711,
719699	6965842	9.190049171447754,
988263	4172318	9.06474781036377,
1032216	5134684	9.197273254394531,
790700	2281236	9.197273254394531,
923108	3049876	9.19857120513916,
1031656	3777283	8.98519515991211,
1033841	3135893	9.254501342773438,
886506	3077740	9.420796394348145,
1033967	4767322	9.234819412231445,
1033127	2396763	9.187032699584961,
1011797	3309091	8.57783317565918,
985429	2754028	8.983451843261719,
1003362	2799807	9.903176307678223,
959600	3221838	10.402499198913574,
588468	2326416	9.03386402130127,
1031632	4625016	9.454172134399414,
973093	5397993	9.24007797241211,
959780	3115805	9.488383293151855,
987469	4375809	9.169609069824219,
968409	4805594	8.933734893798828,
1038209	3699495	9.137635231018066,
1054387	3898201	9.244771003723145,
1054431	5174852	9.409048080444336,
985337	3440685	9.167110443115234,
1038707	3752591	9.336881637573242,
1142274	2321252	8.652146339416504,
446807	1001247	9.283723831176758,
1048710	2869664	9.423399925231934,
444601	1201766	9.654183387756348,
969286	3719021	9.372146606445312,
938916	667646	9.454158782958984,
1055327	3035236	8.938928604125977,
481281	2737619	9.350686073303223,
928956	3529100	9.132091522216797,
336762	6395399	8.970721244812012,
880833	4571360	9.767592430114746,
665944	3042016	9.624671936035156,
1069623	5237128	9.239544868469238,
765321	4291814	9.396717071533203,
144279	3289271	9.516063690185547,
1038713	630222	9.16256046295166,
1146087	630222	9.16256046295166,
718591	8207640	9.456905364990234,
958740	2532030	9.616735458374023,
619794	5196171	9.748869895935059,
909573	5938241	9.261547088623047,
303251	2860090	9.380284309387207,
918432	3571351	8.977619171142578,
956895	4419772	9.853711128234863,
1047297	2508669	9.262998580932617,
968614	2308855	8.979175567626953,
1057679	5380873	9.242814064025879,
1034471	3120650	9.370400428771973,
841305	1422894	9.041593551635742,
1032947	5988458	9.671106338500977,
273674	5728633	8.931017875671387,
1057126	2440331	8.602176666259766,
1017781	4633452	9.132034301757812,
1137511	2779268	9.328571319580078,
304309	2315625	9.732715606689453,
950275	3394079	9.008437156677246,
887090	4174427	8.640090942382812,
601007	2238728	9.492547035217285,
652937	1763697	9.00883960723877,
1053537	4703500	9.050159454345703,
1041489	5248900	9.362692832946777,
986523	2814086	9.534235000610352,
900146	3322032	9.634780883789062,
1159087	705630	9.22248649597168,
942715	5972813	9.286876678466797,
1037727	4095912	8.99336051940918,
340872	2315521	8.844389915466309,
1047125	3803598	9.778761863708496,
1036459	2322451	9.295965194702148,
1071280	4052650	9.503844261169434,
1041434	4522024	9.578081130981445,
1137486	2781491	8.812474250793457,
782364	3711499	9.571159362792969,
1033798	3072136	9.32163143157959,
651034	1108130	9.715617179870605,
1138416	2692479	9.372269630432129,
417382	1523003	9.014251708984375,
1028187	6093244	9.351045608520508,
671765	448438	10.135490417480469,
1138546	2679395	9.146646499633789,
179967	5353503	9.060327529907227,
161517	3487088	8.911850929260254,
1081801	5315258	10.141702651977539,
636677	2364065	9.171627044677734,
165964	893329	9.194366455078125,
831455	6311588	9.922861099243164,
616511	1997250	8.622827529907227,
1042056	5166837	9.292396545410156,
939175	5090384	8.413758277893066,
7654	5965292	9.697315216064453,
1034153	4506234	9.066810607910156,
809888	6141526	9.182546615600586,
540707	6794897	8.591012954711914,
1038286	5181085	8.486669540405273,
341202	1432426	9.698678970336914,
522012	8613553	8.41537094116211,
1039795	2990257	9.466269493103027,
923712	3116702	9.350141525268555,
781633	2319980	9.400739669799805,
589740	6937377	9.545236587524414,
15429	4310328	8.858250617980957,
1054435	5413317	9.506449699401855,
869664	2772360	9.59055233001709,
982083	6295463	9.859037399291992,
337684	6002524	9.300680160522461,
1034323	4194107	9.458885192871094,
812864	4394720	8.797913551330566,
979480	3466459	9.191202163696289,
1047830	58995	9.076196670532227,
1030019	3288816	9.60384750366211,
921811	5957073	9.708760261535645,
1039852	5205283	9.133610725402832,
1053393	3306922	9.246811866760254,
503608	535928	10.159809112548828,
1035403	3565529	9.394061088562012,
999499	4823441	9.5643892288208,
938951	4884542	9.253910064697266,
429033	1731967	9.030220031738281,
1174684	7127900	9.195587158203125,
652060	1331049	9.160974502563477,
402664	6749376	9.48320484161377,
1035992	3591546	9.194075584411621,
1054072	4158037	9.513174057006836,
1030574	2276483	9.658707618713379,
1034965	4333988	9.404838562011719,
1029648	3332666	9.841310501098633,
1038979	2259689	9.481947898864746,
1035427	2992941	9.188692092895508,
921855	3697710	9.71833610534668,
650173	1379135	8.744122505187988,
8514	3728811	9.116272926330566,
619210	4935041	9.694414138793945,
762459	3738137	9.489325523376465,
1057123	3224176	9.3316650390625,
431472	6748569	9.201600074768066,
340951	2383116	9.477447509765625,
1176044	6948267	8.922201156616211,
542705	6765579	9.63864517211914,
200557	6335132	9.72456169128418,
1032339	531964	9.267839431762695,
1047884	3932131	9.4276762008667,
1058159	2445015	9.354141235351562,
1028251	3535378	9.388763427734375,
894307	2490535	9.2631254196167,
1031967	2300989	8.881551742553711,
665205	6750888	9.619400978088379,
969706	6134914	9.256884574890137,
1147099	1864761	8.78661060333252,
458835	374519	9.360170364379883,
988226	4295521	9.36285400390625,
1029720	3130126	9.462121963500977,
1031428	2546454	9.127340316772461,
653568	630733	9.106900215148926,
1046542	4694151	9.32534408569336,
651687	1741271	9.336644172668457,
1037013	5184896	9.481840133666992,
500231	481018	9.113364219665527,
337728	6466716	9.27116870880127,
1055446	3428251	8.518121719360352,
55055	5615297	9.355030059814453,
596800	139075	9.648222923278809,
894261	2469324	9.569734573364258,
542611	1220805	9.48678970336914,
539796	3572687	9.6069917678833,
937717	3103229	9.6069917678833,
919328	2381147	8.92212200164795,
336761	5800834	8.951335906982422,
430043	691215	9.36133861541748,
243791	3577424	9.14415454864502,
124330	2313363	9.611211776733398,
61495	6400795	9.492279052734375,
881134	4002886	9.743906021118164,
1053517	4298596	9.3377046585083,
860156	2853160	9.277191162109375,
721944	6280994	9.744451522827148,
314897	5566172	9.637584686279297,
1053051	2885334	9.928842544555664,
993573	4558138	9.326765060424805,
540014	1020645	9.083218574523926,
38860	23640	9.746761322021484,
37008	23640	9.746761322021484,
984351	5946314	9.20978832244873,
833711	4102922	9.173633575439453,
596611	2819891	10.21163272857666,
341104	6020442	9.59618854522705,
434803	4396809	9.538224220275879,
1056763	3040332	9.205954551696777,
1044640	2355655	9.089133262634277,
993412	5069381	9.012361526489258,
860194	3825889	9.809832572937012,
1032121	6217817	8.938133239746094,
1034362	4754838	9.848954200744629,
938523	5089799	9.35110855102539,
799147	3891009	9.122154235839844,
972116	3258905	8.501823425292969,
768094	4209316	8.843957901000977,
1038300	4089333	9.490796089172363,
1047939	2481700	9.36932373046875,
517668	930206	9.377182006835938,
618590	1955178	10.066335678100586,
965849	1421294	9.611308097839355,
727624	5315732	9.523191452026367,
212312	1373570	9.432737350463867,
638511	186154	9.029573440551758,
408460	4659129	9.463068008422852,
571464	151949	9.113863945007324,
71276	8498001	9.562616348266602,
1039850	2399066	9.443466186523438,
1168211	5725168	9.463841438293457,
516820	1167163	9.56987190246582,
1029346	3157921	8.787773132324219,
744991	4981801	9.102925300598145,
960101	3162421	9.865081787109375,
1080793	2437061	9.415464401245117,
635523	207522	9.188822746276855,
869644	2835969	9.519760131835938,
651421	5662525	10.0763521194458,
1041069	2609468	9.486544609069824,
601762	5956778	9.752618789672852,
448664	5904939	8.794699668884277,
1049154	5975978	9.168771743774414,
741701	190402	9.535507202148438,
1177507	1323004	8.876504898071289,
411864	1872726	9.200146675109863,
1030329	2959593	9.50086498260498,
54763	4103904	9.532394409179688,
801631	3609744	9.748156547546387,
605987	727815	9.550724029541016,
909292	6145552	9.973634719848633,
1062329	4079015	9.780437469482422,
1140396	2503272	9.081457138061523,
984365	3069677	9.407428741455078,
279149	750450	9.430298805236816,
1033297	3835055	9.279783248901367,
900660	5067422	8.63437271118164,
1057140	6089961	9.433391571044922,
1039099	5205381	9.180882453918457,
1138432	2691141	9.740341186523438,
1031130	1292312	9.46171760559082,
28147	5919584	9.181380271911621,
388005	4000931	9.554513931274414,
341597	6593126	9.790213584899902,
775991	4414001	9.864389419555664,
480753	198789	9.524361610412598,
585092	801554	9.79148006439209,
322885	6348296	10.054521560668945,
1035908	4611000	9.356295585632324,
908455	2685415	9.422855377197266,
1056552	4606322	9.850092887878418,
1041257	4649875	9.243531227111816,
502045	6673815	9.343732833862305,
786701	4105513	9.127937316894531,
331225	5593399	9.129138946533203,
321845	3971160	9.323594093322754,
199235	5685319	9.505982398986816,
957819	2451372	9.858296394348145,
1045191	3781344	9.075376510620117,
1033111	2450547	8.946702003479004,
969498	5275272	9.250957489013672,
887180	292799	9.656204223632812,
786700	4081634	9.475336074829102,
937501	4734441	9.222628593444824,
1031212	3197657	9.45026683807373,
143439	3813266	9.296940803527832,
537117	357363	9.709211349487305,
1042634	6131343	9.367203712463379,
619023	340260	9.220280647277832,
646303	2966762	9.343713760375977,
652524	2966762	9.343713760375977,
1030733	4601965	9.880887985229492,
940191	2402889	9.502497673034668,
946855	2940154	9.600253105163574,
898847	4093991	9.891016006469727,
259625	1945519	10.316356658935547,
926285	3179129	9.077083587646484,
1137878	2743269	9.079935073852539,
1159330	681224	9.761005401611328,
1034316	2498377	9.341604232788086,
939236	6299019	9.231758117675781,
1036853	3455917	9.500370025634766,
976585	3179552	9.296895980834961,
1036258	4356847	9.338960647583008,
93850	1057726	9.118416786193848,
620529	1584027	9.406007766723633,
939321	3062759	9.526324272155762,
507796	2326416	9.096784591674805,
1033291	2616317	9.524770736694336,
1044972	3576182	9.81307601928711,
987902	5937184	9.20494556427002,
1054696	4479235	9.480575561523438,
514770	6557005	9.492484092712402,
1142307	2317709	9.206441879272461,
335406	2049415	9.371222496032715,
1173716	169076	9.265276908874512,
608818	5904660	9.145930290222168,
887548	3975790	9.405515670776367,
985421	5083668	9.323269844055176,
1173894	7697800	10.11156177520752,
1055115	5375843	9.927644729614258,
652139	4578229	9.877599716186523,
477385	2821420	9.285175323486328,
1138714	2663298	9.015077590942383,
470083	6205785	9.885724067687988,
976602	5170884	9.359306335449219,
1077846	2785377	9.24379825592041,
322038	5721224	9.124598503112793,
981695	5110789	9.422801971435547,
798668	4975955	9.64482593536377,
296699	398211	9.824872016906738,
82237	4025334	8.839919090270996,
618925	1977712	10.097244262695312,
888469	2265781	9.874259948730469,
939310	2237956	9.495068550109863,
213500	5144639	9.52627944946289,
445054	412715	9.098420143127441,
1047213	3630454	9.418651580810547,
1141177	2425971	9.302129745483398,
671358	2141226	9.465059280395508,
1150688	1523762	9.36972427368164,
938549	4888378	9.220706939697266,
115014	6323594	9.33803939819336,
1026381	5020591	9.380095481872559,
1003209	3844996	9.335142135620117,
514926	6792792	9.068582534790039,
638694	6986606	9.635531425476074,
1002833	5332090	9.481880187988281,
1164269	162850	9.75002384185791,
926005	4557859	9.566413879394531,
540761	2233627	9.349842071533203,
83693	1292948	9.722573280334473,
974355	2624440	10.009822845458984,
167807	5030729	9.425491333007812,
741740	2052512	9.930706024169922,
83643	6648970	9.50090503692627,
961909	3653410	10.166733741760254,
969731	2859966	8.91545295715332,
213460	10037	9.703960418701172,
846811	5421992	9.605527877807617,
918370	2515187	9.384818077087402,
986731	1709691	9.43911075592041,
94491	2485859	9.609030723571777,
982488	2750374	9.489948272705078,
880530	2379109	9.614738464355469,
805652	4192656	9.809386253356934,
540705	2734969	9.268434524536133,
1041400	2527596	9.490382194519043,
418029	2134384	9.41860580444336,
607293	1264344	8.47389030456543,
204992	5518957	8.994647026062012,
143906	5472884	9.69090461730957,
1074703	2609278	9.250459671020508,
1176409	6915905	9.449808120727539,
1041487	3585651	8.952986717224121,
